ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAcquisition,DiagnosisCertainty,SourceName,CountValue
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/2003,31/5/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,183
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/2003,30/6/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,142
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/2003,31/7/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,159
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/2003,31/8/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,134
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/2003,30/9/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,108
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/2003,31/10/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,191
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/2003,30/11/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,165
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/2003,31/12/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,163
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/2004,31/1/2004,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,175
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/2004,29/2/2004,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,148
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/2004,31/3/2004,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,168
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/2004,30/4/2004,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,202
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/2004,31/5/2004,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,233
