ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Weeks,PeriodStartDate,PeriodEndDate,CountValue
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,51,17/12/2013,23/12/2013,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,52,24/12/2013,30/12/2013,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,1,1/1/2014,7/1/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,2,8/1/2014,14/1/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,3,15/1/2014,21/1/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,4,22/1/2014,28/1/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,5,29/1/2014,4/2/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,6,5/2/2014,11/2/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,7,12/2/2014,18/2/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,8,19/2/2014,25/2/2014,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,9,26/2/2014,4/3/2014,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,10,5/3/2014,11/3/2014,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,11,12/3/2014,18/3/2014,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,12,19/3/2014,25/3/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,13,26/3/2014,1/4/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,14,2/4/2014,8/4/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,15,9/4/2014,15/4/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,16,16/4/2014,22/4/2014,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,17,23/4/2014,29/4/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,18,30/4/2014,6/5/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,19,7/5/2014,13/5/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,20,14/5/2014,20/5/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,21,21/5/2014,27/5/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,22,28/5/2014,3/6/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,23,4/6/2014,10/6/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,24,11/6/2014,17/6/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,25,18/6/2014,24/6/2014,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,26,25/6/2014,1/7/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,27,2/7/2014,8/7/2014,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,28,9/7/2014,15/7/2014,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,29,16/7/2014,22/7/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,30,23/7/2014,29/7/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,31,30/7/2014,5/8/2014,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,32,6/8/2014,12/8/2014,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,33,13/8/2014,19/8/2014,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,34,20/8/2014,26/8/2014,1
